CATEGORY,SUBCATEGORY,AGE,REGION,TIMEALLOWED,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECTANSWER,HINT,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,In welcher Stadt lebt Batman?,Gotham,New York,Metropole,Star City,A,(NULL),N8h291619729950707.jpg,,,1,58732,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Welche dieser berühmten Charaktere kommt in 'The LEGO Movie' nicht im Film vor?,Gandalf,Green Lantern,C-3PO,The Flash,D,(NULL),IA5Ht1619730347904.jpg,,,1,58736,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,"Welche Tier-DNA wurde in ""Jurassic Park"" verwendet, um Lücken in den Dinosaurier-Genomen zu füllen?",Frosch,Krokodil,Schlange,Gecko,A,(NULL),s535r1619730502404.jpg,,,1,58740,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Wie heißt das Sparschwein in den 'Toy Story'-Filmen?,Gammon,Hamm,Dr. Pok Chop,Wheezy,B,(NULL),DDM061619730904321.jpg,,,1,58772,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Welche dieser Figuren spielt keine Rolle im Film "Drachenzähmen leicht gemacht"?,Fischbein,Rotzbakke,Hiccup,Burper,D,(NULL),mqMmr1619731283697.jpg,,,1,58788,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wer wohnt in einem Mülleimer in der Sesamstraße?,Elmo,Oscar,Grobi,Großer Vogel,B,(NULL),57djG1619731755610.jpg,,,1,58809,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,30,Welche Art von Bändigerr ist Aang in 'Avatar: Herr der Elemente'?,Erde,Luft,Feuer,Wasser,B,(NULL),5YAhH1619731913023.jpg,,,1,58813,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,30,Die Musik welcher berühmten Band spielt in dem Musikfilm "Mamma Mia" eine Rolle?,Bee Gees,Die Rolling Stones,Queen,ABBA,D,(NULL),1ErGZ1619732159573.jpg,,,1,58825,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,30,Welches Tier ist in der Harry Potter-Reihe auf dem Hufflepuff-Hauswappen zu finden?,Ein Dachs,Ein Frettchen,Ein Hund,Ein Wolf,A,(NULL),vwGYS1619732333063.jpg,,,1,58837,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"Wer hindert Ralph im Film 'Ralph reichts' daran, die Spitze des Gebäudes zu erreichen?",Arthur,King Candy,Vanellope,Fix-it-Felix Jr.,D,(NULL),z2ROk1619732464499.jpg,,,1,58849,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wem gehören Woody und Buzz Lightyear?,Andy,Johnny,Toby,Max,A,(NULL),BoeJE1619732704905.jpg,,,1,58853,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Was für eine Kreatur ist Shrek?,Ein Troll,Ein Riese,Ein Kobold,Ein Oger,D,(NULL),zUses1619732868321.jpg,,,1,58857,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,ADULT",Deutschland,30,Wonach sehnte sich der Blechmann im Filmklassiker "Der Zauberer von Oz"?,Gehirn,Herz,Etwas Öl,Freund,B,(NULL),O0iHH1619733037066.jpg,,,1,58861,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN,ADULT",Deutschland,30,"Wer war das erste Kind, das ein goldenes Ticket für eine Tour durch Willy Wonkas Schokoladenfabrik fand?",Charlie Buck,Verruca Salt,Violette Beauregarde,Augustus Gloop,D,(NULL),kumrx1619771291161.jpg,,,1,58989,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wofür stehen in Roald Dahls "The BFG" die Buchstaben BFG?,Big Friendly Giant,Big Funny Giant,Big Ferocious Giant,Big Fuzzy Giant,A,(NULL),kz0VT1619771342969.jpg,,,1,59001,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Welche Hunderasse ist Max in den "Pets"-Filmen?,Ein Bassett Hound,Ein Corgi,Ein Jack Russell Terrier,Ein Beagle,A,(NULL),qFuCr1619771861689.jpg,,,1,59009,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"Wie heißt der kleine Junge, der in ""Pets 2"" mit Max und Duke zusammenlebt?",Billy,Marty,Jay,Liam,A,(NULL),WBxO71619772118857.jpg,,,1,59017,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Was liebt Chloe die Katze besonders?,Spazieren gehen,Katzenspielzeug,Ihren Besitzer,Essen,D,(NULL),g5klw1619772573381.jpg,,,1,59025,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Wie lautet das Firmenmotto bei Monster AG?,"Schrecklich, schrecklicher, am schrecklichsten",Ein Schrecken am Tag ist schlecht für den Arzt,Nur die Netten erschrecken,Wir erschrecken zu guten Zwecken,D,(NULL),6TpUx1619772973681.jpg,,,1,59033,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Was erwirbt Thanos auf dem Planeten Xandar in Avengers: Infinity War?,Das kosmische Juwel,Die Galaxiekugel,Den Machtstein,Der Ring der Macht,C,(NULL),I7w7F1619773335581.jpg,,,1,59049,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,In welchem ??Marvel Avengers-Film stirbt Thors Bruder Loki?,Avengers: Endgame,Avangers: Zeitalter des Ultron,Avengers: Infinity War,Avangers,C,(NULL),0zsJP1619774732283.jpg,,,1,59137,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Zu welcher Spezies gehört Chewbacca in der Star Wars-Filmreihe?,Hutt,Ewok,Gungan,Wookie,D,(NULL),5wdqy1619776977750.jpg,,,1,59161,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,30,Wie lautet Julias Nachname im Shakespeare-Stück "Romeo und Julia"?,Montague,Capulet,Macbeth,Oberon,B,(NULL),YpSKC1619779243956.jpg,,,1,59175,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,Welcher dieser Schauspieler wurde 2005 der neue James Bond?,Daniel Craig,Timothy Dalton,Pierce Brosnan,Sean Connery,A,(NULL),uHndJ1619779538384.jpg,,,1,59183,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Wie heisst der zurückgezogen lebende Schauspieler, der 1990 in dem Film ""Allein zu Hause"" als Kevin mitspielte?",Jonathan Lipnicki,Macaulay Culkin,Corey Feldman,Corey Haim,B,(NULL),qntue1619779955580.jpg,,,1,59191,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welcher Autor hat die Figur James Bond geschaffen?,Ian Fleming,Arthur Conan Doyle,William Boyd,Frederick Forsyth,A,(NULL),qlsLN1619780545540.jpg,,,1,59199,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,"Wie heißt das Anwesen, in der Mr. Rochester in 'Jane Eyre' lebt?",Nord Lees,Haycock,Thornfield,Highclere,C,(NULL),lJ1Uv1619780801051.jpg,,,1,59203,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Von welcher hier abgebildeten viktorianischen Schriftstellerin stammen "Sinn und Sinnlichkeit" und "Emma"?,Emily Bronte,Anne Bronte,Jane Austen,Elizabeth Barrett Browning,C,(NULL),mYsP21619780970329.jpg,,,1,59211,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Was ist das Hauptthema von ""Herr der Fliegen"", in dem eine Gruppe von Schuljungen auf einer Insel stranden?",Liebe,Verlust der Unschuld,Tod,Neue Fähigkeiten erwerben,B,(NULL),P3t6v1619781133212.jpg,,,1,59215,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wie heißt der Lehrer im Musical sowie dem Film 'School of Rock'?,Daniel,David,Dewey,Finlay,C,(NULL),H96jj1619781310501.jpg,,,1,59219,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welche Rolle spielt Jeff Goldblum im Marvel-Film "Thor: Tag der Entscheidung"?,Grandmaster,Guardian,Great Lord,Kaiser,A,(NULL),RI4Z21619781552560.jpg,,,1,59223,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wie endet der Titel des John Steinbeck-Romans "Von Mäusen und ...?,Ratten,Männern,Käse,Reis,B,(NULL),p21gB1619781735807.jpg,,,1,59227,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welche Stadt fehlt in diesem berühmten Apollo 13-Zitat "_____ wir haben ein Problem"?,Houston,Texas,Washington,New York,A,(NULL),e6smq1619782196088.jpg,,,1,59231,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wer hat 'Eine Weihnachtsgeschichte' geschrieben?,Charles Dickens,Jules Verne,HG Wells,Oscar Wilde,A,(NULL),J3EiV1619782484546.jpg,,,1,59235,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,Welche Baumart pflanzt Aschenputtel zu Beginn der Geschichte auf dem Grab ihrer Mutter?,Eiche,Weide,Hasel,Buche,C,(NULL),nbTpt1619789801505.jpg,,,1,59243,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welcher Charakter in 'Oliver Twist' besitzt einen Hund namens Bullseye?,Bill Sikes,Artful Dodger,Fagin,Oliver,A,(NULL),fJnUW1619790063454.jpg,,,1,59251,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wer spielte die Rolle des legendären Freddie Mercury im Film 'Bohemian Rhapsody'?,Taron Egerton,Rami Malek,Joseph Mazzello,Henry Golding,B,(NULL),UifYo1619790510232.jpg,,,1,59255,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,In welchem ??Land spielt der Film 'Slumdog Millionaire'?,Pakistan,Iran,Indien,Oman,C,(NULL),UMpks1619782615896.jpg,,,1,59263,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Forrest Gump sagt bekanntlich: "Das Leben ist wie __________." ?,Eine Schachtel Pralinen,"Ein Berg, schwer zu erklimmen",Ein Weihnachtsgeschenk,Ein Karussell,A,(NULL),3jlQq1619793850633.jpg,,,1,59291,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wer hat den Charakter Sherlock Holmes erschaffen?,Ian Fleming,Arthur Conan Doyle,Samuel Richardson,Anthony Trollope,B,(NULL),Wvkl91619794047132.jpg,,,1,59295,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,In welchem Fast and Furious-Film hatte Paul Walker seinen letzten Filmauftritt?,Fast & Furious 7,Fast & Furios 8,Fast & Furious 6,Fast Five,A,(NULL),uz3HE1619794434889.jpg,,,1,59299,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welcher Autor hat "Der unsichtbare Mann" geschaffen?,HGWells,EM Forster,DH Lawrence,C.S. Lewis,A,(NULL),fJKPY1619794566461.jpg,,,1,59303,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Vor welcher dieser Kreaturen hat Indiana Jones besondere Angst?,Schlangen,Spinnen,Krokodile,Ratten,A,(NULL),jbZ3y1619795505042.jpg,,,1,59347,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Welches Buch beginnt mit diesem Satz: ""Echt, ich habe nicht darum gebeten, als Halbblut auf die Welt zu kommen"" ?",Percy Jackson - DIebe im Olymp,Biss zur MIttagsstunde von Stephanie Meyer,Harry Potter - Der Halbblutprinz,Dämonentochter von Jennifer Armentrout,A,(NULL),QC00579.jpg,,,1,59351,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"In welche europäische Stadt reisen Hazel und Augustus in dem Buch ""Das Schicksal ist ein mieser Verräter"", um Hazels Lieblingsautorin zu treffen?",Amsterdam,Venedig,Prag,Kopenhagen,A,(NULL),lNh1K1619795733187.jpg,,,1,59355,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Percy Jackson ist der Halbgott-Sohn welches ??altgriechischen Gottes?,Zeus,Poseidon,Hermes,Aries,B,(NULL),mhWKV1619796049070.jpg,,,1,59367,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Wie heißt der Schauspieler, der in der gleichnamigen Filmreihe ""John Wick"" spielt?",Tom Hardy,James Franco,Johnny Depp,Keanu Reeves,D,(NULL),qY6VD1619796502789.jpg,,,1,59379,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wie lautet das Motto des Abschlussballs im Netflix-Film 'The Kissing Booth'?,Schwarz und weiß,Erinnerungen,Sommernachtstraum,Sternennacht,B,(NULL),1FrI21619796681961.jpg,,,1,59383,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,An wen schreibt Lara Jean in 'To All The Boys I've Loved Before' zuerst einen Brief?,Kenny aus dem Camp,John Ambrose von Model UN,Lucas / Homecoming,Peter aus der 7. Klasse,A,(NULL),AqExh1619797042824.jpg,,,1,59387,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Wie lautet Simons Online-Pseudonym in ""Love, Simon""?",Jack,Jean,Claude,Jacques,D,(NULL),MCO7X1619797160528.jpg,,,1,59391,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welcher Netflix-Original-Weihnachtsfilm wurde im Oktober 2020 mit Emma Roberts in der Hauptrolle ausgestrahlt?,Operation Weihnachtstropfen,Holidate,Jingle Jangle: Eine Weihnachtsreise,Wie man Weihnachten ruiniert: Die Hochzeit,B,(NULL),WNNFn1619797289894.jpg,,,1,59395,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,30,"Wie heißt dieser Schauspieler, der Bilbo Beutlin im Hobbit spielt?",Martin Freeman,Ian McKellen,Orlando Bloom,Elijah Wood,A,(NULL),R3MeS1619798479064.jpg,,,1,59428,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,30,Wie heißt Simon Peggs Charakter im Film 'Zwei abgewichste Profis'?,Nicholas Angle,Benji Dunn,Gary King,Tim Bisley,A,(NULL),S1eTj1619798955499.jpg,,,1,59444,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,30,Welches der Kardashian-Geschwister ist am ältesten?,Kim Kardashian,Kourtney Kardashian,Robert Kardashian,Khloe Kardashian,B,(NULL),q7oYP1619799346206.jpg,,,1,59474,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Wenn Alice im Wunderland an einer Weggabelung fragt ""'Welche Straße nehme ich?"", wer antwortet ihr?",Der verrückte Hutmacher,Die Grinsekatze,Das weiße Kaninchen,Niemand,B,(NULL),mFLji1619799621829.jpg,,,1,59486,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Wer ist dieser berühmte Schauspieler, der 1971 den Charakter von Dirty Harry spielte?",Charles Bronson,John Wayne,Clint Eastwood,Gene Hackman,C,(NULL),RRUwJ1619799915662.jpg,,,1,59490,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,In 'Guardian of the Galaxy: Vol. 2' taucht wer oder was auf?,Ein planetenfressendes Monster,Star-Lords Vater,Gamoras Vater,Ein schnell expandierendes Schwarzes Loch,B,(NULL),5Qpyb1619800132305.jpg,,,1,59494,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wo wurde die Schauspielerin Charlize Theron geboren?,Südafrika,China,Ägypten,Indien,A,(NULL),bWL1E1619800323285.jpg,,,1,59506,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Mit welchem ??Roman bringt man den Satz "Big Brother schaut zu? in Verbindung",1984,Schöne neue Welt,Catch-22,Fänger im Roggen,A,(NULL),hllRE1619800779021.jpg,,,1,59514,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,"Wodurch versucht Ralph in ""Chaos im Netz"" genug Geld zu verdienen, um das Spiel Sugar Rush zu retten?",Youtube Videos,Gesangswettbewerb,Telemarketing,Talentshow,A,(NULL),505wi1619801057597.jpg,,,1,59526,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Was ist mit all den Gartenzwergen im Film "Sherlock Gnomes" von 2018 passiert?,Sie wurden zerstört,Sie sind verschwunden,Sie wurden verkauft,Sie wurden eingefroren,B,(NULL),At4OR1619803636688.jpg,,,1,59570,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Der Disney-Film "Das Dschungelbuch" basiert auf wessen Buch?,Rudyard Kipling,Robert Louis Stevenson,JM Barrie,Charles Dickens,A,(NULL),BXhai1619804444200.jpg,,,1,59578,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wer spielt den Superschurken 'Venom' im gleichnamigen Film?,Riz Ahmed,Woody Harrelson,Tom Hardy,Jason Statham,C,(NULL),xhrIn1619805205044.jpg,,,1,59606,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,Die Zeile "Sein oder Nichtsein" stammt aus welchem ??dieser Shakespeare-Stücke?,Hamlet,Othello,Richard III,Macbeth,A,(NULL),o74aa1619805353269.jpg,,,1,59618,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Der Originaltitel "The girl who was on fire" bezieht sich auf welche Figur in den Tributen von Panem?,Effie Trinket,Prim Everdeen,Delly Cartwright,Katniss Everdeen,D,(NULL),LMw5g1619805861860.jpg,,,1,59626,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welche Schauspielerin spielt Katniss in den Tribute von Panem-Filmen?,Margot Robbie,Emma Roberts,Hayley Bennett,Jennifer Lawrence,D,(NULL),QkJei1619806230953.jpg,,,1,59650,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,Der im Bild gezeigte Film ist der direkte Vorgänger welches Films?,Suicide Squad,Joker,Wonder Woman,V wie Vendetta,A,(NULL),Wv7xq1619807297934.jpg,,,1,59662,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,30,Welcher Autor hat die fiktive Welt von Wunderland geschaffen?,C.S. Lewis,Lewis Carroll,Charles Dickens,Ian Fleming,B,(NULL),zVDaD1619807199285.jpg,,,1,59670,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,"Wie heißt die Figur, die Keanu Reeves in der 'Matrix'-Trilogie spielt?",Neo,Löwe,Das Ö,Gio,A,(NULL),AiKPE1619807839216.jpg,,,1,59678,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,Welches Zeitlimit hat die Academy im Jahr 2010 für Oscar-Gewinn-Reden eingeführt?,45 Sekunden,2 Minuten,30 Sekunden,1 Minute,A,(NULL),BIfly1619808172402.jpg,,,1,59686,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,Welcher Filmregisseur erschuf die Kult-Horrorserie Evil Dead und inszenierte die Spider-Man-Trilogie (2002–2007)?,Ridley Scott,Michael Bay,Sam Raimi,Curtis Hanson,C,(NULL),iyEIR1619808634428.jpg,,,1,59698,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Was hat der Kaiser in "Die neuen Kleider des Kaisers" mit den falschen Webern gemacht?,Er schlug sie zu Rittern,Er gab ihnen Gold,Er gab ihnen Juwelen,Er gab ihnen Land,A,(NULL),057ah1619809018677.jpg,,,1,59714,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,30,Welcher DJ spielt sich selbst im Film 'Pitch Perfect 3'?,Hardwell,DJ Khaled,Tiesto,David Guetta,B,(NULL),VrWdo1619808662268.jpg,,,1,59722,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,Um welchen Austronauten geht es in 'Aufbruch zum Mond'?,Neil Armstrong,Buzz Aldrin,Mike Collins,Yuri Gagarin,A,(NULL),Moik11619809113601.jpg,,,1,59730,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wie heißt der erste der drei Herr-der-Ringe-Romane?,Gemeinschaft des Rings,Die Silmarillion,Rückkehr des Königs,Die zwei Türme,A,(NULL),9UlPn1619808355720.jpg,,,1,59738,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welcher der folgenden Schauspieler hat Sonic in "Sonic the Hedgehog" (2020) gesprochen?,Morgan Freeman,Leonardo Dicaprio,Matthew McConaughey,Ben Schwartz,D,(NULL),QoLNx1619809464651.jpg,,,1,59742,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wer hat die Kindergeschichte "Der alte Mann von Lochnagar" geschrieben?,Prinz Charles,Prinz William,Camilla,Elizabeth II,A,(NULL),g6x3z1619809514320.jpg,,,1,59746,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,Wer hat den Roman "Der Herr der Fliegen" geschrieben?,William Golding,Harper Lee,George Orwell,JD Salinger,A,(NULL),RKVi31619809756505.jpg,,,1,59750,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wo wohnte Sherlock Holmes?,221B Baker Street,1600 Pennsylvania Avenue,61 Oakley-Platz,31 Spooner Street,A,(NULL),Nmsak1619810108387.jpg,,,1,59758,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Welche zwei außerirdischen Völker befinden sich im "Captain Marvel"-Film 2019 im Krieg?,Kree & Skrull,Brut & Chitauri,Kree & Dire Wraiths,Phalanx & Watchers,A,(NULL),cTOpr1619810984806.jpg,,,1,59770,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Woraus besteht die Rattenfängerpfeife?,Elfenbein,Kupfer,Messing,Gold,D,(NULL),4RwKm1619811177481.jpg,,,1,59782,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Welche dieser Animationen erwähnt häufig Wensleydale-Käse?,Wallace und Gromit,Animal Farm,Paddington Bär,Shaun das Schaf,A,(NULL),lXWPd1619810754310.jpg,,,1,59786,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welche dieser Figuren kommt nicht im Buch "Der Hobbit" vor?,Frodo Beutlin,Thorin Eichenschild,Gandalf,Elrond,A,(NULL),qp4eN1619811526743.jpg,,,1,59794,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Wie heißt die mythische Königin im Film "Tomb Raider" von 2018?,Himiko,Yamatai,Izanami,Tsukuyomi,B,(NULL),TL00d1619811776153.jpg,,,1,59798,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Wade Owen Watt, die Hauptfigur in 'Ready Player One', ist auch unter welchem ??dieser Namen bekannt?",Aech,Parzival,Anorak,Art3mis,B,(NULL),zhQkd1619856827405.jpg,,,1,59966,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Wie heißt diese Schauspielerin, hier im Disney-Film ""Cinderella"" von 2015 als Cinderellas Stiefmutter zu sehen?",Amanda Seyfried,Cate Blanchett,Gwyneth Paltrow,Rachel McAdams,B,(NULL),3hszi1619857119833.jpg,,,1,59970,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Was verwenden die Avengers in 'Avengers: Endgame', um den Lauf der Geschichte zu verändern?",Ein Hyperantrieb,Eine Zeitmaschine,Eine Raumdehnugsmaschine,"Eine Waffe, um Thanos . zu zerstören",B,(NULL),q6PRQ1619857571776.jpg,,,1,59974,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welches Gemälde beschädigt Mr. Bean im Film 'Bean' aus Versehen?,Mona Lisa,Das letzte Abendmahl,Whistlers Mutter,Sonnenblumen,C,(NULL),S7CXm1619858078435.jpg,,,1,59978,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Welches hiervon ist kein Wesen aus dem "Herr der Ringe" ?,Eine Dryade,Ein Ork,Ein Hobbit,Ein Zwerg,A,(NULL),5MrtN1619878558297.jpg,,,1,59982,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Wie heißt die Figur, die Joaquin Phoenix im Film ""Joker"" spielt?",Arthur Fleck,Arthur Black,Arthur Deck,Arthur Meeks,A,(NULL),i5P2u1619878748919.jpg,,,1,59990,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,In welchem ??dieser Filme aus dem Jahr 2020 spielte Mark Wahlberg die Hauptrolle?,Mortal,Dein Zuhause gehört mir,Wonderland,Unwiderstehlich,C,(NULL),dG1PW1619878933348.jpg,,,1,59994,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Welche Beschreibung passt am besten zu dem Stück 'Macbeth'?,Eine Tragödie,Eine Komödie,Ein Biopic,Eine Romanze,A,(NULL),x53vF1619879241047.jpg,,,1,60002,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,Woher in England stammt die Kinderbuchautorin Beatrix Potter?,Yorkshire Dales,Peak District,Cotswolds,Lake District,D,(NULL),CwCJn1619879444609.jpg,,,1,60006,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Welche Figur aus 'Der König der Löwen' (1994) sagte das berühmte Zitat ""Erinnere dich, wer du bist""?",Mufasa,Nala,Zazu,Simba,A,(NULL),G5MwB1619880003900.jpg,,,1,60018,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,In welchem ??dieser Filme sagt Leonardo DiCaprio "Ich bin der König der Welt!" ?,Titanic (1997),Banden von New York (2002),Marvins Töchter (1996),Unter Feinden (2006),A,(NULL),4fNLv1619879796187.jpg,,,1,60022,0,,1,1,,,,
